,username,title,numGames,winRate,numWhite,whiteRate,numBlack,blackRate
466,chessplayer202202,fm,568,0.4595070422535211,0,,568,0.4595070422535211
467,garicradomir,fm,537,0.62756052141527,267,0.6554307116104869,270,0.6
468,doons21,fm,73,0.7808219178082192,35,0.8,38,0.7631578947368421
469,vancilla,fm,1,1.0,1,1.0,0,
470,auggiewren,fm,28,0.35714285714285715,0,,28,0.35714285714285715
471,outlucked,fm,2,1.0,1,1.0,1,1.0
472,fischercapa,fm,52,0.6923076923076923,26,0.7692307692307693,26,0.6153846153846154
473,talaris,fm,23,0.34782608695652173,0,,23,0.34782608695652173
474,sandstad,fm,207,0.48792270531400966,0,,207,0.48792270531400966
475,decimocourtois,fm,126,0.42857142857142855,0,,126,0.42857142857142855
476,bubachess1608,fm,339,0.4808259587020649,0,,339,0.4808259587020649
477,somalianwarrior2006,fm,815,0.4343558282208589,0,,815,0.4343558282208589
478,jean-claude_vandal,fm,148,0.3581081081081081,0,,148,0.3581081081081081
479,zeeuwke,fm,9,0.4444444444444444,0,,9,0.4444444444444444
480,ayina29,fm,242,0.7231404958677686,122,0.7786885245901639,120,0.6666666666666666
481,cdoespiao,fm,9,0.3333333333333333,0,,9,0.3333333333333333
482,thebigbadchessdad,fm,3,0.0,0,,3,0.0
483,vfernandezb,fm,3,0.6666666666666666,0,,3,0.6666666666666666
484,topmoi,fm,159,0.5283018867924528,80,0.6125,79,0.4430379746835443
485,fishthatroared,fm,225,0.47555555555555556,0,,225,0.47555555555555556
486,takemypieces97,fm,149,0.4563758389261745,0,,149,0.4563758389261745
487,orkinyo12345,fm,16,0.6875,9,0.6666666666666666,7,0.7142857142857143
488,mfwagnerpeixoto,fm,1,1.0,1,1.0,0,
489,ashen-nj,fm,1,0.0,0,,1,0.0
490,richard_black,fm,19,0.3684210526315789,0,,19,0.3684210526315789
491,masterblaster1,fm,84,0.6190476190476191,42,0.5476190476190477,42,0.6904761904761905
492,secret_guy,fm,21,0.7142857142857143,10,0.7,11,0.7272727272727273
493,meridaandres,fm,1,1.0,1,1.0,0,
494,fravatel,fm,194,0.4742268041237113,0,,194,0.4742268041237113
495,den_kuzo,fm,161,0.4472049689440994,0,,161,0.4472049689440994
496,bajecny,fm,85,0.43529411764705883,0,,85,0.43529411764705883
497,loiacono_antonio,fm,96,0.4166666666666667,0,,96,0.4166666666666667
498,looooolll123,fm,475,0.5578947368421052,238,0.5882352941176471,237,0.5274261603375527
499,nau64,fm,3,1.0,2,1.0,1,1.0
500,chesscoach64,fm,1,0.0,0,,1,0.0
501,gatorojo150,fm,3,0.3333333333333333,0,,3,0.3333333333333333
502,bacus2000,fm,20,0.5,0,,20,0.5
503,superchthonic,fm,118,0.5508474576271186,59,0.6101694915254238,59,0.4915254237288136
504,pocketpivot,fm,168,0.3630952380952381,0,,168,0.3630952380952381
505,gabduschew,fm,176,0.6193181818181818,88,0.6931818181818182,88,0.5454545454545454
506,alexkhripachenko,fm,7,0.42857142857142855,0,,7,0.42857142857142855
507,spotbet,fm,2,1.0,1,1.0,1,1.0
508,atom596,fm,16,0.5625,0,,16,0.5625
509,46tumtrah,fm,1,1.0,1,1.0,0,
510,apg77,fm,84,0.8452380952380952,41,0.8292682926829268,43,0.8604651162790697
511,kresojevicvasa,fm,131,0.549618320610687,64,0.625,67,0.47761194029850745
512,mindgrowing,fm,4,0.75,2,1.0,2,0.5
513,atoufi-arz,fm,1,1.0,0,,1,1.0
514,majalaviri,fm,32,0.78125,15,0.6666666666666666,17,0.8823529411764706
515,artin10862,fm,27,0.7777777777777778,13,0.8461538461538461,14,0.7142857142857143
516,martinez_95,fm,265,0.4981132075471698,130,0.6,135,0.4
517,walter_white_poland,fm,21,0.38095238095238093,0,,21,0.38095238095238093
518,daddystrength,fm,259,0.583011583011583,132,0.6136363636363636,127,0.5511811023622047
519,marchutin77,fm,105,0.6666666666666666,52,0.6923076923076923,53,0.6415094339622641
520,erwich,fm,1,0.0,0,,1,0.0
521,skinerd6,fm,70,0.4857142857142857,35,0.5428571428571428,35,0.42857142857142855
522,vanek_runets,fm,6,0.6666666666666666,0,,6,0.6666666666666666
523,gorgeous1083,fm,61,0.7868852459016393,31,0.8387096774193549,30,0.7333333333333333
524,lrj2011,fm,78,0.7435897435897436,39,0.7948717948717948,39,0.6923076923076923
525,kuruhuru,fm,2,0.0,1,0.0,1,0.0
526,mrnobody99,fm,83,0.46987951807228917,0,,83,0.46987951807228917
527,svandik49,fm,84,0.40476190476190477,0,,84,0.40476190476190477
528,polandchessplayer,fm,66,0.5151515151515151,32,0.5,34,0.5294117647058824
529,mariofs,fm,12,0.5833333333333334,5,0.8,7,0.42857142857142855
530,odreamchess,fm,547,0.43144424131627057,0,,547,0.43144424131627057
531,fluffey,fm,57,0.49122807017543857,0,,57,0.49122807017543857
532,sjevtic,fm,1,1.0,0,,1,1.0
533,paparama_1917,fm,2,0.5,0,,2,0.5
534,shoooting_star,fm,47,0.46808510638297873,0,,47,0.46808510638297873
535,bodor1,fm,6,1.0,3,1.0,3,1.0
536,shadyh9,fm,48,0.4583333333333333,0,,48,0.4583333333333333
537,andreaschatz,fm,144,0.6041666666666666,74,0.6351351351351351,70,0.5714285714285714
538,macko06,fm,1,0.0,1,0.0,0,
539,sharan_rao,fm,76,0.4342105263157895,0,,76,0.4342105263157895
540,ec316,fm,2,0.5,1,1.0,1,0.0
541,b_nn_t,fm,11,0.45454545454545453,0,,11,0.45454545454545453
542,twilight_sparkle5,fm,72,0.4305555555555556,0,,72,0.4305555555555556
543,bengal_tiger07,fm,103,0.5048543689320388,0,,103,0.5048543689320388
544,ibraheem0,fm,107,0.8598130841121495,54,0.9259259259259259,53,0.7924528301886793
545,bournival-ne,fm,1,0.0,0,,1,0.0
546,schattman,fm,36,0.4722222222222222,0,,36,0.4722222222222222
547,truki,fm,381,0.5826771653543307,191,0.5863874345549738,190,0.5789473684210527
548,henryk_s,fm,33,0.5151515151515151,0,,33,0.5151515151515151
549,savke_capitano,fm,6,0.5,0,,6,0.5
550,oneeyedguest,fm,586,0.45051194539249145,0,,586,0.45051194539249145
551,ykow,fm,345,0.46956521739130436,0,,345,0.46956521739130436
552,chessalow,fm,10,0.7,5,0.8,5,0.6
553,gliga,fm,104,0.4326923076923077,0,,104,0.4326923076923077
554,el_luiso96,fm,68,0.5294117647058824,34,0.5294117647058824,34,0.5294117647058824
555,slave-trajkoski,fm,149,0.5436241610738255,74,0.527027027027027,75,0.56
556,blitzchampion78,fm,5,1.0,0,,5,1.0
557,riordan-ne,fm,1,0.0,0,,1,0.0
558,letdalvincook,fm,2,0.5,0,,2,0.5
559,fmsoumya1984,fm,25,0.68,13,0.7692307692307693,12,0.5833333333333334
560,zsoltkorpics,fm,24,1.0,12,1.0,12,1.0
561,kirillov-dmitry,fm,4,0.5,0,,4,0.5
562,smyslovsfan,fm,281,0.45195729537366547,0,,281,0.45195729537366547
563,pavelyurkov777,fm,116,0.4827586206896552,0,,116,0.4827586206896552
564,joejan,fm,2,1.0,1,1.0,1,1.0
565,otrovnipacov2405,fm,24,0.4583333333333333,0,,24,0.4583333333333333
566,econpower,fm,2,1.0,1,1.0,1,1.0
567,unstuckfrommud,fm,244,0.47540983606557374,0,,244,0.47540983606557374
568,bluejay1897,fm,42,0.6190476190476191,19,0.631578947368421,23,0.6086956521739131
569,mainemanfm,fm,76,0.39473684210526316,0,,76,0.39473684210526316
570,luiso1961,fm,7,1.0,3,1.0,4,1.0
571,jimis98,fm,21,0.6190476190476191,10,0.6,11,0.6363636363636364
572,buhomurciano,fm,2,1.0,1,1.0,1,1.0
573,paladin_ll,fm,360,0.4527777777777778,183,0.4262295081967213,177,0.480225988700565
574,ebijo,fm,8,1.0,4,1.0,4,1.0
575,kettai,fm,300,0.49,151,0.5033112582781457,149,0.47651006711409394
576,borsuk_konstantin,fm,14,0.42857142857142855,0,,14,0.42857142857142855
577,jlmanzanares,fm,7,1.0,4,1.0,3,1.0
578,prerijskikojot,fm,263,0.7642585551330798,133,0.7894736842105263,130,0.7384615384615385
579,dtocchioni,fm,452,0.6592920353982301,230,0.6826086956521739,222,0.6351351351351351
580,stasor4ik,fm,15,0.4666666666666667,0,,15,0.4666666666666667
581,alembong,fm,442,0.4072398190045249,0,,442,0.4072398190045249
582,ranindu2003,fm,221,0.3891402714932127,0,,221,0.3891402714932127
583,khoipham,fm,1,0.0,1,0.0,0,
584,esskeettit,fm,231,0.6666666666666666,115,0.6608695652173913,116,0.6724137931034483
585,mark2120,fm,16,0.4375,0,,16,0.4375
586,fmalexhdez,fm,205,0.424390243902439,0,,205,0.424390243902439
587,tkbecrux,fm,45,0.6888888888888889,23,0.5652173913043478,22,0.8181818181818182
588,unlaw69,fm,3,0.3333333333333333,0,,3,0.3333333333333333
589,roland_inho,fm,47,0.425531914893617,0,,47,0.425531914893617
590,szabadaba,fm,54,0.6481481481481481,28,0.6785714285714286,26,0.6153846153846154
591,progresso2016,fm,39,0.38461538461538464,0,,39,0.38461538461538464
592,andrej2004,fm,288,0.4895833333333333,0,,288,0.4895833333333333
593,adel991,fm,0,,0,,0,
594,unmerciful_life,fm,14,0.21428571428571427,0,,14,0.21428571428571427
595,malhar9,fm,10,0.4,0,,10,0.4
596,laitveik,fm,11,0.9090909090909091,5,1.0,6,0.8333333333333334
597,vazabanga,fm,166,0.4036144578313253,0,,166,0.4036144578313253
598,rtfrancisco,fm,53,0.4528301886792453,0,,53,0.4528301886792453
599,diogenessinopeus,fm,20,0.45,0,,20,0.45
600,chessdiamant,cm,8,0.5,4,0.5,4,0.5
601,cuprichanin,cm,77,0.7142857142857143,40,0.7,37,0.7297297297297297
602,darian1102,cm,3,0.6666666666666666,1,1.0,2,0.5
603,joejreusa,cm,24,0.4583333333333333,0,,24,0.4583333333333333
604,felixto2010,cm,61,0.4918032786885246,0,,61,0.4918032786885246
605,dacresdon,cm,1,1.0,1,1.0,0,
606,dinul,cm,3,0.3333333333333333,0,,3,0.3333333333333333
607,gbk1w1,cm,7,0.5714285714285714,0,,7,0.5714285714285714
608,charlescandycampbell,cm,60,0.6833333333333333,31,0.6774193548387096,29,0.6896551724137931
609,alisuma,cm,4,0.75,2,1.0,2,0.5
610,wolverine_master,cm,121,0.38016528925619836,0,,121,0.38016528925619836
611,norwaytoadog,cm,19,0.5789473684210527,9,0.6666666666666666,10,0.5
612,almaguerjm,cm,97,0.6185567010309279,49,0.5714285714285714,48,0.6666666666666666
613,jk2w,cm,1,1.0,0,,1,1.0
614,bondau,cm,24,0.5416666666666666,0,,24,0.5416666666666666
615,squishey,cm,127,0.4645669291338583,0,,127,0.4645669291338583
616,mostii,cm,5,0.4,0,,5,0.4
617,grandmasterbomo1,cm,1,1.0,1,1.0,0,
618,skslaviaorlova,cm,7,0.14285714285714285,3,0.0,4,0.25
619,pawnpusher1245,cm,46,0.41304347826086957,0,,46,0.41304347826086957
620,yudai0515,cm,1,0.0,0,,1,0.0
621,litemale,cm,7,0.42857142857142855,0,,7,0.42857142857142855
622,younix2022,cm,155,0.7483870967741936,77,0.7272727272727273,78,0.7692307692307693
623,sodastream007,cm,158,0.6012658227848101,77,0.6493506493506493,81,0.5555555555555556
624,stegariuvlad,cm,14,0.5714285714285714,0,,14,0.5714285714285714
625,berislav222,cm,50,0.74,24,0.8333333333333334,26,0.6538461538461539
626,onetowin,cm,216,0.5046296296296297,109,0.5229357798165137,107,0.48598130841121495
627,mrlammy,cm,1,0.0,0,,1,0.0
628,otrov-11,cm,56,0.6607142857142857,28,0.75,28,0.5714285714285714
629,kekic76,cm,1,1.0,1,1.0,0,
630,yonousomodulo,cm,36,0.4722222222222222,0,,36,0.4722222222222222
631,awayceiling,cm,15,0.7333333333333333,8,0.75,7,0.7142857142857143
632,larissasteenbekkers,cm,90,0.45555555555555555,0,,90,0.45555555555555555
633,shailendrabajpai,cm,4,0.75,2,1.0,2,0.5
634,nottodaysir,cm,4,0.5,0,,4,0.5
635,gixfantastix,cm,21,0.5238095238095238,10,0.4,11,0.6363636363636364
636,robin_ahmedmahatab,cm,198,0.43434343434343436,0,,198,0.43434343434343436
637,felix-rose,cm,215,0.4232558139534884,0,,215,0.4232558139534884
638,eprudentegcf,cm,10,0.5,7,0.42857142857142855,3,0.6666666666666666
639,lonestarpawn,cm,3,0.6666666666666666,0,,3,0.6666666666666666
640,moon_stone123,cm,67,0.3582089552238806,0,,67,0.3582089552238806
641,billforster,cm,7,0.2857142857142857,0,,7,0.2857142857142857
642,bernd_stromberg,cm,163,0.4049079754601227,0,,163,0.4049079754601227
643,qwerasdf8008,cm,362,0.4198895027624309,181,0.425414364640884,181,0.4143646408839779
644,cocovitsch007,cm,158,0.4177215189873418,0,,158,0.4177215189873418
645,parajuli_rajendra,cm,12,0.5833333333333334,6,0.6666666666666666,6,0.5
